Connecting to CAN-Bus interface: can0
Loading RVC Spec file rvc-spec.yml.
Processing start...
1670872719.175416 19FFCA42 (8) DGN: 1FFCA, Prio: 6, srcAD: 02, Data: 01, 6C, 09, 14, 7D, F3, 1D, FF
1670872719.315425 19FFFC42 (8) DGN: 1FFFC, Prio: 6, srcAD: 02, Data: 01, 64, FF, FF, C8, FF, FF, FF
1670872719.355449 19FEE842 (8) DGN: 1FEE8, Prio: 6, srcAD: 02, Data: 01, 0F, 01, 00, 7D, FF, FF, FF
1670872719.395475 19FF8F42 (8) DGN: 1FF8F, Prio: 6, srcAD: 02, Data: 41, 00, FF, FF, FF, FF, FF, FF
1670872719.435394 19FFD542 (8) DGN: 1FFD5, Prio: 6, srcAD: 02, Data: 41, C0, 00, 00, 1F, 00, FF, FF
1670872719.475408 19FFD742 (8) DGN: 1FFD7, Prio: 6, srcAD: 02, Data: 41, 6C, 09, 05, 7D, F3, 1D, FF
1670872719.515375 19FEBD42 (8) DGN: 1FEBD, Prio: 6, srcAD: 02, Data: 01, 20, 27, FF, FF, FF, FF, FF
1670872719.555393 19FFD442 (8) DGN: 1FFD4, Prio: 6, srcAD: 02, Data: 01, 02, F0, FF, FF, FF, FF, FF
1670872719.595418 19FFC742 (8) DGN: 1FFC7, Prio: 6, srcAD: 02, Data: 01, 0F, 01, 00, 7D, 00, 06, FF
1670872719.635371 19FFC842 (8) DGN: 1FFC8, Prio: 6, srcAD: 02, Data: 01, FC, FF, FF, FF, FF, 00, FF
1670872719.675398 19FFCA42 (8) DGN: 1FFCA, Prio: 6, srcAD: 02, Data: 01, 6C, 09, 14, 7D, F3, 1D, FF
1670872719.715724 19FECA42 (8) DGN: 1FECA, Prio: 6, srcAD: 02, Data: 05, 42, FF, FF, FF, FF, FF, FF
1670872719.755337 18EEFF42 (8) DGN: 0EEFF, Prio: 6, srcAD: 02, Data: ED, 5F, E4, 0E, 08, 81, 3C, 80
1670872719.815387 19FFFC42 (8) DGN: 1FFFC, Prio: 6, srcAD: 02, Data: 01, 64, FF, FF, C8, FF, FF, FF
1670872719.855385 19FEE842 (8) DGN: 1FEE8, Prio: 6, srcAD: 02, Data: 01, 0F, 01, 00, 7D, FF, FF, FF
1670872719.895397 19FF8F42 (8) DGN: 1FF8F, Prio: 6, srcAD: 02, Data: 41, 00, FF, FF, FF, FF, FF, FF
1670872719.935408 19FFD542 (8) DGN: 1FFD5, Prio: 6, srcAD: 02, Data: 41, C0, 00, 00, 1F, 00, FF, FF
